relatedClaimNumberText,officeActionDate,createUserIdentifier,applicantCitedExaminerReferenceIndicator,kindCode,nplIndicator,workGroupNumber,patentApplicationNumber,officeActionCategory,inventorNameText,groupArtUnitNumber,qualitySummaryText,createDateTime,techCenter,citedDocumentIdentifier,countryCode,passageLocationText,obsoleteDocumentIdentifier,id,citationCategoryCode,examinerCitedReferenceIndicator,publicationNumber
1-13,2020-08-06,ETL_SYS,False,A1,False,2150,16037118,CTNF,Mishor; Amnon,2158,AOK,2025-01-13 14:32:11,2100,US 20120203584 A1,US,"['paragraph 0081, 0086-0093|paragraphs 0002-0003|c. 103|figure 6|claim 5|claims 3, 9, 11|paragraph 0074|c. 102|figure 15|claim 1|claims 2-4, 9, 11 and 13|paragraph 0084|c. 112|figure 21|claim 8|claims 1 and 10|paragraph 0174-0175|c. 101|claim 6|claims 9, 11 and 13|claim 3|claims 1, 5-8, 10 and 12|claim 2|claims 2, 6|claim 9|claims 1-13|claim 7|claims 1, 10 and 12|claim 4']",KDG5UHZIRXEAPX3,7e74810c030b2b63b663e962048bd01e,Y,True,20120203584
1-20,2024-11-29,ETL_SYS,False,,False,2150,18298652,CTNF,,2159,AOK,2025-01-13 14:32:11,2100,,,"['par. 0014|pg. 14|col. 2|c. 103|section 102|lines 53-57|fig. 1|claim 11|claims 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 16, 18, 19 and 20|par. 0024|pg. 16|col. 3|c. 102 and 103|lines 20-32|fig. 3c|claim 9|claims 14 and 15|par. 123|lines 39-51|claim 20|par. 0126|claim 17|par. 0105|claim 8|par. 0107|claim 1|par. 0051|claim 5|par. 0065|claim 4|par. 0089|claim 3|par. 0092|claim 2|par. 0104|claim 7|par. 0044|claim 6|par. 0101|par. 0019|par. 0086|par. 0087|par. 0027|par. 0094|par. 107|par. 0081-0082|par. 0049|par. 0097|par. 0080|par. 0004|par. 0005-0007']",M3YM60KAWFYGX54,f74e2a045d70d4da5d327dca8100b377,X,False,
1,2024-11-29,ETL_SYS,False,A1,False,2150,18298652,CTNF,Kim; Seung Jin,2159,AOK,2025-01-13 14:32:11,2100,US 20170316541 A1,US,"['par. 0014|pg. 14|col. 2|c. 103|section 102|lines 53-57|fig. 1|claim 11|claims 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 16, 18, 19 and 20|par. 0024|pg. 16|col. 3|c. 102 and 103|lines 20-32|fig. 3c|claim 9|claims 14 and 15|par. 123|lines 39-51|claim 20|par. 0126|claim 17|par. 0105|claim 8|par. 0107|claim 1|par. 0051|claim 5|par. 0065|claim 4|par. 0089|claim 3|par. 0092|claim 2|par. 0104|claim 7|par. 0044|claim 6|par. 0101|par. 0019|par. 0086|par. 0087|par. 0027|par. 0094|par. 107|par. 0081-0082|par. 0049|par. 0097|par. 0080|par. 0004|par. 0005-0007']",M3YM60KAWFYGX54,2cc3e97f563e93e58d0f3e8e476bf941,X,True,20170316541
"1-8,15",2022-06-21,ETL_SYS,False,,False,2150,17163184,CTNF,,2156,AOK,2025-01-13 14:32:11,2100,,,"['paragraph 0004)|c 103|claim 5|claims 8-14|paragraph 0002)|c. 112|claim 1|claims 1-7|paragraph 0011)|c. 103|claim 3|claims 1-20|c. 102|claim 6|claims 1, 8|claim 7|claims 15-20|claim 4|claims 1-6|claim 2']",L4IIARYIGREENX4,034303a15fbed7452a05d1835c14ba5a,X,False,
1-20,2022-06-21,ETL_SYS,False,A1,False,2150,17163184,CTNF,Renzi; Silvio J.,2156,AOK,2025-01-13 14:32:11,2100,US 20070180490 A1,US,"['paragraph 0004)|c 103|claim 5|claims 8-14|paragraph 0002)|c. 112|claim 1|claims 1-7|paragraph 0011)|c. 103|claim 3|claims 1-20|c. 102|claim 6|claims 1, 8|claim 7|claims 15-20|claim 4|claims 1-6|claim 2']",L4IIARYIGREENX4,0712b5382f088600d811010164dcb56d,Y,True,20070180490
1-20,2022-06-21,ETL_SYS,False,A1,False,2150,17163184,CTNF,Packirisamy; Gopu,2156,AOK,2025-01-13 14:32:11,2100,US 20200089792 A1,US,"['paragraph 0004)|c 103|claim 5|claims 8-14|paragraph 0002)|c. 112|claim 1|claims 1-7|paragraph 0011)|c. 103|claim 3|claims 1-20|c. 102|claim 6|claims 1, 8|claim 7|claims 15-20|claim 4|claims 1-6|claim 2']",L4IIARYIGREENX4,6401b76a21781cdf68e046ef02c0d2ef,Y,True,20200089792
"2,9",2021-11-26,ETL_SYS,False,A1,False,2180,16586027,CTNF,YAMADA; Hiroyuki,2186,AOK,2025-01-13 14:32:11,2100,US 20190033390 A1,US,"['c. 112|fig. 1)|claim 1|claims14|c. 103|claims 1-20|claims 1, 8, 17|claims 6, 13, 19|claims 8 and 17|claims 1, 8 and 17|claims 2-7, 9-16, 18-20|claims 3, 4-5, 7, 10-12, 16, 18, 20|claims 2, 9']",KWC6ISDMLDFLYX7,2b75d36a23f00991b9aef23ece4eb0a2,Y,True,20190033390
"2,9",2021-11-26,ETL_SYS,False,A1,False,2180,16586027,CTNF,KLESYK; Krzysztof,2186,AOK,2025-01-13 14:32:11,2100,US 20180033224 A1,US,"['c. 112|fig. 1)|claim 1|claims14|c. 103|claims 1-20|claims 1, 8, 17|claims 6, 13, 19|claims 8 and 17|claims 1, 8 and 17|claims 2-7, 9-16, 18-20|claims 3, 4-5, 7, 10-12, 16, 18, 20|claims 2, 9']",KWC6ISDMLDFLYX7,4e01c8c4215d81cbd6eb69ebdb1c3c23,Y,True,20180033224
"1,6,8,13-15,17,19",2021-11-26,ETL_SYS,False,A1,False,2180,16586027,CTNF,SAKABE; Kei,2186,AOK,2025-01-13 14:32:11,2100,US 20180226824 A1,US,"['c. 112|fig. 1)|claim 1|claims14|c. 103|claims 1-20|claims 1, 8, 17|claims 6, 13, 19|claims 8 and 17|claims 1, 8 and 17|claims 2-7, 9-16, 18-20|claims 3, 4-5, 7, 10-12, 16, 18, 20|claims 2, 9']",KWC6ISDMLDFLYX7,99d03ccb3e707d69b98e229210846faa,Y,True,20180226824
"2,9",2021-11-26,ETL_SYS,False,A1,False,2180,16586027,CTNF,SAKABE; Kei,2186,AOK,2025-01-13 14:32:11,2100,US 20180226824 A1,US,"['c. 112|fig. 1)|claim 1|claims14|c. 103|claims 1-20|claims 1, 8, 17|claims 6, 13, 19|claims 8 and 17|claims 1, 8 and 17|claims 2-7, 9-16, 18-20|claims 3, 4-5, 7, 10-12, 16, 18, 20|claims 2, 9']",KWC6ISDMLDFLYX7,50442e478fb70a8f405f3b246b43d4f5,Y,True,20180226824
"1,6,8,13-15,17,19",2021-11-26,ETL_SYS,False,A1,False,2180,16586027,CTNF,KLESYK; Krzysztof,2186,AOK,2025-01-13 14:32:11,2100,US 20180033224 A1,US,"['c. 112|fig. 1)|claim 1|claims14|c. 103|claims 1-20|claims 1, 8, 17|claims 6, 13, 19|claims 8 and 17|claims 1, 8 and 17|claims 2-7, 9-16, 18-20|claims 3, 4-5, 7, 10-12, 16, 18, 20|claims 2, 9']",KWC6ISDMLDFLYX7,bbe3468d4de9b854806c83bb67a386b4,Y,True,20180033224
"2,9",2021-11-26,ETL_SYS,False,A1,False,2180,16586027,CTNF,Salziger; Jan,2186,AOK,2025-01-13 14:32:11,2100,US 20140028088 A1,US,"['c. 112|fig. 1)|claim 1|claims14|c. 103|claims 1-20|claims 1, 8, 17|claims 6, 13, 19|claims 8 and 17|claims 1, 8 and 17|claims 2-7, 9-16, 18-20|claims 3, 4-5, 7, 10-12, 16, 18, 20|claims 2, 9']",KWC6ISDMLDFLYX7,7a705489027b5922260f946378936be5,Y,True,20140028088
