relatedClaimNumberText,officeActionDate,createUserIdentifier,applicantCitedExaminerReferenceIndicator,kindCode,nplIndicator,workGroupNumber,patentApplicationNumber,officeActionCategory,groupArtUnitNumber,qualitySummaryText,createDateTime,techCenter,countryCode,passageLocationText,obsoleteDocumentIdentifier,id,citationCategoryCode,examinerCitedReferenceIndicator,publicationNumber,inventorNameText,citedDocumentIdentifier
1-20,2023-09-28,ETL_SYS,False,,False,2460,17584377,CTNF,2465,AOK,2025-01-13 14:32:11,2400,,"['c. 103|claim 1|claims 14-17|claim 6|claims 1-5 and 7|claim 8|claims 1-6|claim 4|claims 9-13|claim 2|claims 1-7|claim 3|claims 1-5|claim 5|claims 7, 19|claims 2-6|claims 8-13|claims 6-9|claims 14-20|claims 10-15']",LN0L3SRVXBLUEX4,21fa97be3d162b975a36d827bb22c923,X,False,,,
"1,14-18,20-27",2022-12-08,ETL_SYS,False,,False,2450,17664544,CTNF,2452,AOK,2025-01-13 14:32:11,2400,,"['par 0015|col.3|c. 103|lines 19-46|figure 1|claim 13|claims 5,19|col.2|lines 8-13|claim 11|claims 1,15|col.4|lines 38-64|claim 4|claims 5, 19|col.10|lines 26-44|claim 1|claims 14-18, 20-27|col.9|lines 63-67|claim 7|claims 1-4,6-13|col.5|lines 31-42|claim 9|claims 1-4, 6-18, 20-27|lines 56-60|claim 8|lines 19-26|claim 3|lines 19-38|claim 2|lines 9-12|claim 6|par 0015|col.3|c. 103|lines 19-46|figure 1|claim 13|claims 5,19|col.2|lines 8-13|claim 11|claims 1,15|col.4|lines 38-64|claim 4|claims 5, 19|col.10|lines 26-44|claim 1|claims 14-18, 20-27|col.9|lines 63-67|claim 7|claims 1-4,6-13|col.5|lines 31-42|claim 9|claims 1-4, 6-18, 20-27|lines 56-60|claim 8|lines 19-26|claim 3|lines 19-38|claim 6|lines 9-12|claim 2']",LBCOE1WNXBLUEX0,4c16a8335183ef0a7281e5ec64c3974f,X,False,,,
1-20,2023-11-16,ETL_SYS,False,,False,2470,17553940,CTNF,2478,AOK,2025-01-13 14:32:11,2400,,,LOYHBW9LGREENX3,f9cfb3aba409286b4f3ea6f8ca1657e6,X,False,,,
"1-2,5,11-12,15,19-20",2022-03-29,ETL_SYS,False,A1,False,2450,17402161,CTNF,2457,AOK,2025-01-13 14:32:11,2400,US,"['c. 102|claim 6|claims 11-12, 15 and 19-20|c. 103|claim 5|claims 1, 2 and 5|claim 2|claims 13-14 and 16-18|claim 1|claims 3-4 and 6-8|claim 9|claims 1, 2, 5, 11-12, 15 and 19-20|claim 8|claims 1-20|claim 7|claims 3-4, 6-10, 13-14, 16-17 and 18|claim 3|claim 4']",L16QOQ2ZGREENX0,b53c80955959d5ffcd40594671c94b11,X,True,20190042319,Sood; Kapil,US 20190042319 A1
1-24,2024-06-06,ETL_SYS,False,,False,2430,17591327,CTNF,2436,AOK,2025-01-13 14:32:11,2400,,"['paragraphs: 16, 34-37|c. 112|section 102|f.3d|claim 6|claims 1-4|paragraphs: 23, 33, 38, 45|c. 102 and 103|f.2d|claim 7|claims 5-24|paragraphs: 53-69, 73-101|c. 103|claim 8|claims 1-20|paragraphs: 19, 20|claim 9|claims 5|paragraphs: 21, 25-26)|claim 10|claims 14-20|paragraphs: 29-30|claim 11|claims 6-12|paragraphs: 43-45)|claim 12|paragraphs: 18, 24|claim 21|paragraphs: 35, 38|claim 22|paragraphs: 14-17)|paragraphs: 38|paragraphs: 49, 51|paragraphs: 52-53|paragraphs: 20, 24']",LX0FN57EXBLUEX1,78d82c3af6be8af0307605df057cc0c8,X,False,,,
1-2,2024-11-01,ETL_SYS,False,A1,False,2460,18046153,CTNF,2468,AOK,2025-01-13 14:32:11,2400,US,"['par. 0039 and 338|c. 102 and 103|section 102|line 10|lines 16-17|fig. 1a|claims 1 and 2|par. 0040|c. 103|fig. 2|par. 0049|fig. 8|par. 0038|fig.8, 852|par. 0232|fig.8, 856)|par. 0237|fig.8, 854|par. 0238|fig. 3|par. 0242|fig. 4|par. 0039-0040|fig. 1 and 200|par. 0019|fig. 14|par. 0039|fig.14|par. 0045']",M2VV0VTQWFYGX52,d44471384cde222a31b85061824858fc,X,True,20230097862,HORN; Gavin Bernard,US 20230097862 A1
1,2024-09-10,ETL_SYS,False,A1,False,2460,18354132,CTNF,2464,AOK,2025-01-13 14:32:11,2400,US,['page 1|c. 119|section 201|sections 2-4|line 3|claim 11|claims 1-20'],M0WCOD7RWFYBX49,e5bbb14bb05c72cd0eef03963c5753d7,X,True,20200119869,Taherzadeh Boroujeni; Mahmoud,US 20200119869 A1
"8-9,12-13",2022-06-13,ETL_SYS,False,,False,2450,16606952,CTNF,2451,AOK,2025-01-13 14:32:11,2400,,['c. 102|claims 1'],L478DX5KXBLUEX2,1ec52574c6118f80c3497b0b5538f418,X,False,,,
"29-31,33-34,38,41,46,51,53",2021-05-17,ETL_SYS,False,,False,2460,16591420,CTNF,2464,AOK,2025-01-13 14:32:11,2400,,,KONH6YQJLDFLYX9,e620feb03261c4ac451d20049c2c2824,X,False,,,
"53-54,56",2021-10-18,ETL_SYS,False,A1,False,2460,16477303,CTFR,2467,AOK,2025-01-13 14:32:11,2400,US,"['c. 103|fig 7|claim 42|claims 45-49 and 52|fig. 3|claim 62|claims 42-44, 50, 52, 55 and 57-66|fig. 7|claim 61|claims 42|fig. 4|claim 54|claims 53, 54 and 56|fig. 12|claim 52|claim 43|claim 48|claim 47|claim 55|claim 44|claim 63|claim 49|claim 53|claim 66|claim 65|claim 64|claim 45|claim 59|claim 60|claim 56|claim 50|claim 57|claim 46|claim 58']",KUWTIM8OLDFLYX4,0358b2d3c6cf0113f2ff862a1dfb46dc,X,True,20130322324,Kim; Hakseong,US 20130322324 A1
